id,Nicolas Dupont-Aignan,Marine Le Pen,Emmanuel Macron,Benoît Hamon,Nathalie Arthaud,Philippe Poutou,Jacques Cheminade,Jean Lassalle,Jean-Luc Mélenchon,François Asselineau,François Fillon
1711,1,0,1,0,0,0,0,0,0,1,1
1712,0,0,1,1,0,0,0,0,1,0,0
1713,0,0,1,1,0,0,0,0,0,0,0
1714,0,0,0,1,0,1,1,0,1,0,0
1715,0,0,1,0,1,1,0,0,1,0,1
1716,1,0,1,0,0,0,0,0,0,0,0
1717,0,0,0,0,0,0,0,0,0,0,1
1718,0,0,0,1,0,1,0,0,1,0,0
1719,0,0,1,1,0,0,1,0,1,0,0
1720,0,0,1,1,0,0,0,0,1,0,0
1721,0,0,0,1,0,1,0,0,1,0,0
1722,0,0,0,0,0,0,0,0,0,0,0
1723,0,0,0,1,0,0,0,0,1,0,0
1724,0,0,0,1,1,0,0,0,1,0,0
1725,1,0,1,1,0,0,0,0,1,0,0
1726,0,0,1,1,0,1,0,0,1,0,0
1727,0,1,0,0,1,1,0,0,1,0,0
1728,1,0,1,0,0,0,0,0,0,0,1
1729,0,0,0,0,0,0,0,1,0,1,1
1730,1,0,0,0,0,0,0,0,0,0,1
1731,1,0,0,0,0,0,0,0,0,0,1
1732,0,1,1,0,0,0,0,0,0,0,1
1733,0,0,1,1,0,0,0,1,1,0,0
1734,0,0,1,1,0,0,0,0,1,0,0
1735,0,0,1,1,0,0,0,0,1,0,1
1736,0,0,1,1,0,0,0,0,1,0,0
1737,1,0,1,0,0,0,0,0,0,1,0
1738,0,0,1,0,0,0,0,0,0,0,1
1739,0,0,1,1,0,0,0,0,0,0,0
1740,0,0,1,1,0,0,0,0,0,0,0
1741,0,0,1,1,0,0,0,0,1,0,0
1742,1,0,1,1,0,0,0,0,0,0,1
1743,0,0,1,0,0,0,0,0,0,0,1
1744,0,0,1,1,0,0,0,0,0,0,0
1745,1,0,0,0,0,0,1,0,0,0,1
1746,0,0,1,0,0,0,0,0,0,0,1
1747,0,0,0,0,0,0,0,0,0,0,1
1748,0,0,1,1,0,0,0,0,0,0,1
1749,0,0,0,1,0,0,0,0,1,0,0
1750,0,1,1,0,0,0,0,0,1,0,1
1751,1,0,1,1,0,0,0,0,0,0,1
1752,0,0,1,1,0,0,0,0,1,0,0
1753,0,0,0,1,0,0,0,0,1,0,0
1754,1,0,1,0,0,0,0,0,0,1,0
1755,0,0,1,0,0,0,0,0,0,0,0
1756,0,0,1,0,0,0,0,0,1,0,0
1757,0,0,1,1,0,0,0,0,1,0,0
1758,1,0,1,1,0,0,0,0,1,0,0
1759,1,1,1,0,0,0,0,0,0,0,1
1760,1,1,0,0,0,0,0,0,1,1,0
1761,1,0,1,0,0,0,0,0,0,0,1
1762,0,0,1,1,0,0,0,0,1,0,0
1763,1,0,1,0,0,0,0,0,0,0,0
1764,0,0,1,1,1,0,0,0,0,0,0
1765,0,1,0,0,0,0,0,0,0,0,0
1766,0,0,1,0,0,0,0,0,0,0,1
1767,1,1,0,0,0,0,0,0,0,1,0
1768,0,0,1,0,0,0,0,0,0,0,1
1769,0,0,1,1,0,1,0,0,1,0,0
1770,0,0,1,1,0,0,0,0,1,0,0
1771,1,0,0,0,0,0,0,0,1,1,0
1772,0,0,0,1,1,1,0,0,1,0,0
1773,0,0,1,1,0,0,0,0,0,0,1
1774,0,0,1,1,0,0,0,0,1,0,0
1775,0,0,1,1,0,1,0,0,1,0,1
1776,0,0,1,1,0,0,0,0,1,0,1
1777,0,0,1,1,0,1,1,0,1,0,0
1778,0,0,0,1,0,0,0,0,1,0,0
1779,0,0,0,0,0,0,0,0,1,0,0
1780,0,0,0,0,0,0,0,0,0,0,1
1781,1,1,0,0,0,0,0,0,0,1,1
1782,1,0,1,0,0,0,0,0,0,0,0
1783,0,0,1,1,0,0,0,0,0,0,0
1784,1,0,1,0,0,0,0,0,1,0,1
1785,1,0,0,0,0,0,0,0,1,0,0
1786,0,1,0,0,0,0,0,0,1,0,0
1787,1,1,0,1,0,0,0,0,0,0,1
1788,0,0,1,1,0,1,0,0,1,0,0
