id,Nicolas Dupont-Aignan,Marine Le Pen,Emmanuel Macron,Benoît Hamon,Nathalie Arthaud,Philippe Poutou,Jacques Cheminade,Jean Lassalle,Jean-Luc Mélenchon,François Asselineau,François Fillon
345,0,0,1,0,0,0,0,0,1,0,0
346,0,0,1,1,1,0,0,0,1,0,0
347,0,0,0,0,0,0,0,0,0,0,1
348,0,0,1,1,0,0,0,0,1,0,0
349,1,1,1,0,0,0,0,0,0,0,0
350,0,0,1,0,0,0,0,0,0,0,1
351,0,0,1,0,0,0,0,0,1,0,0
352,0,0,0,0,0,0,0,0,0,0,1
353,0,0,1,1,0,0,0,0,0,0,0
354,1,0,0,0,0,0,0,0,0,0,1
355,0,0,0,1,0,0,0,0,0,0,0
356,0,0,0,1,0,1,0,0,1,0,0
357,0,0,0,1,1,1,0,0,1,0,0
358,0,0,1,0,0,0,0,0,0,0,0
359,0,0,1,0,0,0,1,1,0,0,0
360,0,0,1,0,0,0,0,0,0,0,0
361,0,0,1,1,0,0,0,0,0,0,0
362,0,0,1,1,0,0,0,1,1,0,0
363,0,0,0,0,0,0,0,0,1,0,0
364,0,0,1,0,0,0,0,0,1,0,0
365,0,0,0,1,0,0,0,0,0,0,0
366,0,0,1,1,0,0,0,0,1,0,1
367,0,0,1,0,0,0,0,0,0,0,1
368,0,0,1,1,0,0,0,0,1,0,0
369,0,0,1,1,1,0,0,0,1,0,0
370,1,0,0,0,0,0,0,0,0,0,1
371,0,0,1,1,0,0,0,0,0,0,0
372,0,0,1,0,0,0,0,0,0,0,1
373,0,0,0,1,0,0,0,1,0,0,0
374,0,0,1,1,0,0,0,0,0,0,1
375,0,0,1,0,0,0,1,1,0,0,0
376,0,0,0,1,0,0,0,0,1,0,0
377,0,0,0,1,0,0,0,0,1,0,0
378,0,0,1,0,0,0,0,1,1,0,0
379,0,0,1,1,1,1,0,0,1,0,0
380,1,0,1,0,0,0,0,0,0,0,1
381,1,0,1,1,0,0,0,0,1,0,1
382,0,1,1,0,0,0,0,0,0,0,1
383,0,1,0,1,0,0,0,0,1,0,1
384,0,0,0,0,0,0,0,0,0,0,1
385,0,0,1,0,0,0,0,0,0,0,1
386,0,0,0,0,1,0,0,0,0,0,0
387,0,0,1,0,0,0,0,0,0,0,0
388,0,0,1,0,0,0,0,0,0,0,1
389,0,0,1,1,0,0,0,0,0,0,0
390,0,0,0,1,0,0,1,0,1,0,0
391,0,0,1,0,0,0,0,0,1,1,0
392,0,0,0,1,0,0,0,0,1,0,0
393,0,0,0,0,0,0,0,0,0,1,0
394,0,0,1,1,0,0,0,0,1,0,0
395,0,1,0,0,0,0,0,0,0,0,0
396,1,0,0,1,0,0,0,0,0,0,1
397,0,0,1,0,0,0,0,0,0,0,0
398,0,0,1,1,0,0,0,0,1,0,0
399,0,0,1,0,0,0,0,0,0,0,1
400,0,0,0,0,0,0,0,0,0,0,1
401,1,0,1,0,0,0,0,0,0,0,1
402,1,0,1,0,0,0,0,0,0,0,0
403,0,0,1,0,0,0,0,0,0,0,1
404,1,0,0,0,1,1,0,0,0,0,0
405,0,0,0,1,0,0,0,0,1,0,0
406,0,0,0,0,1,1,0,0,1,0,0
407,0,0,0,1,0,0,0,0,1,0,0
408,0,0,1,1,0,0,0,0,1,0,0
409,0,0,1,1,0,0,0,0,1,0,0
410,1,0,1,1,0,0,1,0,1,0,0
411,0,0,1,1,0,0,0,1,0,0,0
412,0,0,1,1,1,0,0,0,1,0,0
413,0,0,1,1,0,0,0,0,1,0,1
414,0,0,0,0,0,0,0,0,0,0,1
415,0,0,1,1,0,0,0,0,1,0,1
416,0,0,1,0,0,0,0,0,1,0,0
417,0,0,1,1,0,1,0,0,1,0,0
418,0,0,1,1,1,1,0,0,1,1,0
419,0,0,1,0,0,0,0,0,0,0,1
420,1,0,1,1,0,1,0,0,1,0,0
421,0,0,0,1,0,0,0,0,1,0,0
422,0,0,1,0,0,0,0,0,0,0,1
423,0,0,0,0,0,0,0,0,1,0,0
424,0,0,1,1,0,0,0,0,1,0,0
425,0,0,1,1,0,0,0,0,0,0,1
426,0,0,1,1,0,0,0,0,0,0,0
427,1,1,0,0,0,0,0,0,0,0,1
428,0,0,1,1,0,0,0,0,1,0,1
429,0,0,0,0,0,0,0,1,0,0,0
430,0,0,1,0,0,0,0,0,0,0,1
431,0,0,0,0,0,0,0,0,1,0,0
432,0,0,0,1,0,0,0,0,0,0,0
433,0,0,1,1,0,0,0,0,1,0,0
434,0,0,0,1,0,0,0,0,0,0,0
435,0,0,0,0,0,0,0,0,0,0,0
436,0,0,1,1,0,0,0,0,0,0,0
437,0,0,1,0,0,0,0,1,1,0,0
438,1,0,1,0,0,0,0,0,1,0,0
439,0,0,1,0,0,0,0,0,0,0,1
440,0,0,1,0,0,0,0,0,0,0,0
441,0,0,0,1,0,0,0,0,1,0,0
442,1,0,1,1,0,0,0,0,0,0,1
443,0,0,1,1,0,0,0,0,0,0,0
444,0,0,1,1,0,0,0,1,1,0,0
445,1,0,1,1,0,0,0,0,0,0,0
446,1,1,1,1,1,1,1,1,1,1,0
447,0,0,0,1,0,0,0,0,0,0,0
448,1,0,0,0,0,0,0,0,0,0,0
449,1,0,0,1,0,0,0,0,1,0,0
450,1,0,1,0,0,0,0,0,1,0,1
451,0,0,0,1,1,1,0,0,1,0,0
452,0,0,1,1,0,0,0,0,0,0,0
453,0,0,1,0,0,0,0,1,0,1,0
454,0,0,1,1,0,0,0,0,0,0,0
455,0,0,0,0,0,0,0,0,1,0,0
456,0,0,0,1,0,0,0,0,1,0,0
457,0,0,1,0,0,0,0,0,0,0,0
458,0,0,0,1,0,0,0,0,0,0,0
459,0,0,0,1,0,0,0,0,1,0,0
460,0,0,0,1,1,1,0,0,1,0,0
461,0,0,0,1,0,1,0,0,1,0,0
462,0,0,1,1,0,0,0,0,0,0,0
463,1,0,1,0,0,0,1,1,1,1,0
464,1,0,1,0,0,0,0,0,0,0,0
465,0,0,1,1,0,0,0,0,1,0,0
466,1,0,1,1,0,0,0,0,1,0,0
467,1,1,0,0,0,0,0,0,0,0,1
468,0,0,0,0,0,1,0,0,1,0,0
469,0,0,0,0,0,0,0,0,1,0,0
470,0,0,1,0,0,0,0,0,0,0,0
471,0,1,0,1,0,0,0,0,0,0,0
